threshold;energy;n_it;temp;time
124;2121.58;96;14.3782;0.009349;
126;2117.07;68;25.3147;0.006987;
120;2125.37;41;43.6787;0.005146;
115;2119.69;95;14.6716;0.009759;
120;2125.37;38;46.4078;0.005106;
119;2125.18;62;28.577;0.006467;
122;2124.38;83;18.6967;0.008241;
122;2124.38;96;14.3782;0.010549;
114;2117.23;18;69.5135;0.003604;
121;2125.12;60;29.7553;0.006568;
119;2125.18;94;14.971;0.008846;
128;2110.47;73;22.8825;0.007389;
118;2124.51;61;29.1602;0.007651;
118;2124.51;63;28.0055;0.006672;
128;2110.47;104;12.2324;0.01047;
123;2123.21;88;16.9003;0.008604;
126;2117.07;27;57.9568;0.003997;
126;2117.07;15;73.8569;0.003964;
118;2124.51;88;16.9003;0.008846;
117;2123.41;53;34.2754;0.005714;
128;2110.47;92;15.5883;0.010283;
129;2106.37;99;13.5326;0.00951;
120;2125.37;113;10.1987;0.011768;
116;2121.8;87;17.2452;0.009394;
120;2125.37;70;24.3123;0.008403;
118;2124.51;79;20.2703;0.009029;
117;2123.41;26;59.1396;0.003945;
121;2125.12;41;43.6787;0.004877;
116;2121.8;71;23.826;0.007035;
129;2106.37;17;70.9322;0.003534;
116;2121.8;74;22.4249;0.00876;
126;2117.07;107;11.513;0.009929;
127;2114.04;46;39.482;0.006058;
117;2123.41;65;26.8965;0.006644;
117;2123.41;73;22.8825;0.007345;
123;2123.21;42;42.8051;0.004984;
117;2123.41;100;13.262;0.010018;
120;2125.37;67;25.8314;0.007031;
126;2117.07;55;32.9181;0.005641;
123;2123.21;45;40.2878;0.005459;
116;2121.8;34;50.3138;0.004542;
116;2121.8;85;17.9563;0.00938;
114;2117.23;80;19.8649;0.009148;
126;2117.07;65;26.8965;0.006886;
123;2123.21;139;6.03149;0.012851;
112;2110.67;71;23.826;0.007086;
125;2119.44;59;30.3626;0.00747;
118;2124.51;67;25.8314;0.008012;
105;2068.29;42;42.8051;0.005878;
119;2125.18;99;13.5326;0.009617;
