threshold;energy
367;0;
382;0;
507;0;
478;0;
494;0;
482;0;
481;0;
504;0;
424;0;
437;0;
390;0;
466;0;
460;0;
538;0;
452;0;
391;0;
521;0;
449;0;
538;0;
490;0;
493;0;
519;0;
523;0;
447;0;
521;0;
493;0;
422;0;
409;0;
467;0;
408;0;
538;0;
519;0;
437;0;
541;0;
489;0;
491;0;
418;0;
371;0;
381;0;
419;0;
458;0;
384;0;
498;0;
541;0;
516;0;
525;0;
458;0;
457;0;
436;0;
483;0;
503;0;
428;0;
484;0;
526;0;
514;0;
451;0;
425;0;
492;0;
515;0;
505;0;
511;0;
452;0;
496;0;
477;0;
488;0;
425;0;
448;0;
403;0;
438;0;
416;0;
389;0;
468;0;
397;0;
327;0;
368;0;
529;0;
511;0;
529;0;
503;0;
500;0;
528;0;
457;0;
389;0;
491;0;
518;0;
500;0;
453;0;
497;0;
492;0;
428;0;
402;0;
345;0;
286;0;
446;0;
493;0;
542;0;
488;0;
438;0;
382;0;
482;0;
514;0;
490;0;
520;0;
504;0;
542;0;
500;0;
457;0;
392;0;
421;0;
504;0;
472;0;
503;0;
439;0;
422;0;
465;0;
490;0;
450;0;
394;0;
462;0;
463;0;
447;0;
538;0;
496;0;
503;0;
458;0;
432;0;
437;0;
409;0;
438;0;
476;0;
461;0;
466;0;
514;0;
522;0;
491;0;
526;0;
521;0;
531;0;
532;0;
500;0;
494;0;
479;0;
511;0;
536;0;
515;0;
513;0;
542;0;
540;0;
485;0;
450;0;
451;0;
493;0;
483;0;
466;0;
526;0;
520;0;
533;0;
499;0;
460;0;
503;0;
504;0;
486;0;
498;0;
452;0;
526;0;
511;0;
474;0;
514;0;
515;0;
517;0;
486;0;
456;0;
447;0;
434;0;
408;0;
423;0;
536;0;
516;0;
495;0;
447;0;
457;0;
417;0;
490;0;
446;0;
474;0;
497;0;
499;0;
543;0;
513;0;
533;0;
532;0;
520;0;
488;0;
488;0;
516;0;
526;0;
528;0;
543;0;
521;0;
496;0;
508;0;
494;0;
507;0;
470;0;
483;0;
452;0;
507;0;
508;0;
516;0;
482;0;
505;0;
471;0;
543;0;
538;0;
543;0;
504;0;
544;0;
527;0;
509;0;
539;0;
529;0;
512;0;
474;0;
499;0;
508;0;
497;0;
494;0;
464;0;
523;0;
505;0;
522;0;
521;0;
495;0;
506;0;
478;0;
518;0;
513;0;
515;0;
535;0;
514;0;
541;0;
526;0;
531;0;
504;0;
501;0;
480;0;
472;0;
513;0;
483;0;
536;0;
508;0;
532;0;
501;0;
508;0;
484;0;
492;0;
515;0;
523;0;
538;0;
533;0;
544;0;
512;0;
538;0;
526;0;
512;0;
541;0;
517;0;
510;0;
519;0;
519;0;
523;0;
503;0;
533;0;
518;0;
529;0;
528;0;
537;0;
539;0;
511;0;
485;0;
510;0;
509;0;
544;0;
543;0;
535;0;
526;0;
516;0;
516;0;
505;0;
497;0;
521;0;
541;0;
535;0;
520;0;
522;0;
530;0;
531;0;
506;0;
541;0;
532;0;
515;0;
524;0;
518;0;
512;0;
536;0;
514;0;
519;0;
531;0;
535;0;
521;0;
508;0;
492;0;
471;0;
461;0;
486;0;
493;0;
528;0;
515;0;
497;0;
508;0;
505;0;
516;0;
502;0;
485;0;
515;0;
500;0;
514;0;
497;0;
537;0;
522;0;
534;0;
519;0;
539;0;
533;0;
544;0;
528;0;
529;0;
509;0;
528;0;
543;0;
525;0;
512;0;
540;0;
544;0;
